Anime summer 2025
1) Кайдзю номер восемь 2 / Kaijuu 8-gou 2nd Season
2) Эта фарфоровая кукла влюбилась 2 / Sono Bisque Doll wa Koi wo Suru Season 2
4) Благоухающий цветок расцветает с достоинством / Kaoru Hana wa Rin to Saku
5) Восхождение героя щита 4 / Tate no Yuusha no Nariagari Season 4
6) Перевоплотился в седьмого принца, так что я буду совершенствовать свою магию, как захочу 2 / Tensei shitara Dainana Ouji Datta node, Kimama ni Majutsu wo Kiwamemasu 2nd Season
9) Песнь ночных сов 2 / Yofukashi no Uta Season 2
10) Сведённые кукушкой 2 / Kakkou no Iinazuke Season 2
12) Апокалипсис Миногры: Покорение другого мира начинается с разрушенной цивилизации / Isekai Mokushiroku Mynoghra: Hametsu no Bunmei de Hajimeru Sekai Seifuku
15) Гачиакута / Gachiakuta
16) Белого мага, изгнанного из команды героя, подобрал авантюрист ранга S: Этот белый маг слишком нестандартный / Yuusha Party wo Tsuihou sareta Shiromadoushi, S-Rank Boukensha ni Hirowareru: Kono Shiromadoushi ga Kikakugai Sugiru
18) Молчаливая ведьма: Тайна молчаливой колдуньи / Silent Witch: Chinmoku no Majo no Kakushigoto
19) Маг воды / Mizu Zokusei no Mahoutsukai
20) Стать сильнее! Новая сага / Tsuyokute New Saga
21) Лето, когда погас свет / Hikaru ga Shinda Natsu
22) Я переродился торговым автоматом и скитаюсь по лабиринту 2 / Jidou Hanbaiki ni Umarekawatta Ore wa Meikyuu wo Samayou 2nd Season
23) Домашний репетитор герцогини / Koujo Denka no Kateikyoushi
24) У меня нет любовницы! (А может и есть?!) / Watashi ga Koibito ni Nareru Wake Nai jan, Muri Muri! (※Muri ja Nakatta!?)
25) Невинный панк / Virgin Punk
26) Три сестры Микадоно оказались неожиданно простыми / Mikadono Sanshimai wa Angai, Choroi.
27) Ватари на грани краха / Watari-kun no xx ga Houkai Sunzen
29) Межкультурный обмен с девушкой у игровых автоматов / Game Center Shoujo to Ibunka Kouryuu
30) За небрежной молодой девушкой ухаживает бывший жених её сестры / Zutaboro Reijou wa Ane no Moto Konyakusha ni Dekiai sareru
32) Клеватесс: Король демонических зверей, младенец и герой-нежить / Clevatess: Majuu no Ou to Akago to Shikabane no Yuusha
33) Аркнайтс: Восстание из пепла / Arknights: Rise from Ember
34) Добро пожаловать в дешёвый ресторан изгнанника! / Tsuihousha Shokudou e Youkoso!
35) Букет для гадкой девочки / Busu ni Hanataba wo.
36) Соло-кемпинг на двоих / Futari Solo Camp
37) Герой, упавший в обморок, и принцессы-убийцы / Kizetsu Yuusha to Ansatsu Hime
38) Запрещённый крот / Dekin no Mogura
39) Возмездие раненой святой / Kizu darake Seijo yori Houfuku wo Komete
40) Дождь и ты / Ame to Kimi to
41) Плохая девочка / Bad Girl
44) Город / City The Animation
46) Девять: Корона правителя / 9: Ruler's Crown
47) Ночь живых кошаков / Nyaight of the Living Cat
48) Увидимся завтра в ресторанном дворике / Food Court de, Mata Ashita.
50) Строящийся город Камицубаки / Kamitsubaki-shi Kensetsuchuu.
51) Отель для нелюдей / Hotel Inhumans
52) Угрюмый, Эпический боец / Busamen Gachi Fighter
57) Космическое шоу ужасов Некрономико / Necronomico no Cosmic Horror Show
60) Драгоценности Рури / Ruri no Houseki
