Anime autumn 2024
1) Re: Жизнь в другом мире с нуля 3 / Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season
2) Арифурэта: Сильнейший ремесленник в мире 3 / Arifureta Shokugyou de Sekai Saikyou Season 3
3) Может, я встречу тебя в подземелье? 5 / Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka V: Houjou no Megami-hen
6) Мастера Меча Онлайн: Альтернативная «Призрачная пуля» 2 / Sword Art Online Alternative: Gun Gale Online II
9) Нападение одиночки на иной мир / Hitoribocchi no Isekai Kouryaku
10) Повелитель демонов 2099 / Maou 2099
11) Ты — горничная / Kimi wa Meido-sama.
12) Я стану злодейкой, которая войдёт в историю: Чем большей злодейкой я стану, тем больше понравлюсь принцу! / Rekishi ni Nokoru Akujo ni Naru zo
14) На этот раз одержи победу над императором драконов, благородная девушка! / Yarinaoshi Reijou wa Ryuutei Heika wo Kouryakuchuu
18) Прощай, жизнь дракона. Здравствуй, жизнь человека / Sayounara Ryuusei, Konnichiwa Jinsei
21) Самый известный диктор создаёт самый великий в мире клан / Saikyou no Shienshoku "Wajutsushi" de Aru Ore wa Sekai Saikyou Clan wo Shitagaeru
22) Синие Мибуро / Ao no Miburo
27) Манга по выживанию / Kagaku x Bouken Survival!
28) История о том, как я пришёл на вечеринку, а там не было ни одной женщины / Goukon ni Ittara Onna ga Inakatta Hanashi
30) Плохая поездка / Acro Trip
34) Король демонов, попытайтесь снова! R / Maou-sama, Retry! R
35) Вы правда женитесь? / Kekkon suru tte, Hontou desu ka
36) Брачные узы с семьёй Амагами / Amagami-san Chi no Enmusubi
38) Плачущий призрак на пенсии / Nageki no Bourei wa Intai shitai
40) Грибной щенок / Kinoko Inu
41) Я стал учителем в школе монстров! / Youkai Gakkou no Sensei Hajimemashita!
42) О движении Земли / Chi.: Chikyuu no Undou ni Tsuite
44) Запретная зона: Уровень X / Kankin Kuiki Level X
45) Господин и пёс / Tono to Inu
46) Пуниру — милая слизь / Puniru wa Kawaii Slime
49) Мифический дух: Хроники 2 / Seirei Gensouki 2
56) Спираль / Uzumaki
