Anime winter 2025
1) Поднятие уровня в одиночку 2: Восстаньте из тени / Ore dake Level Up na Ken Season 2: Arise from the Shadow
3) Монолог фармацевта 2 / Kusuriya no Hitorigoto 2nd Season
4) Доктор Стоун: Научное будущее / Dr. Stone: Science Future
5) Мой счастливый брак 2 / Watashi no Shiawase na Kekkon 2nd Season
6) Безымянная память 2 / Unnamed Memory Act.2
7) Я секретарь гильдии, но я не люблю сверхурочную работу, поэтому я собираюсь подчинить босса в одиночку / Guild no Uketsukejou desu ga, Zangyou wa Iya nanode Boss wo Solo Toubatsu Shiyou to Omoimasu
8) Я женился на однокласснице, которую ненавидел / Class no Daikirai na Joshi to Kekkon suru Koto ni Natta.
10) Добро пожаловать в Японию, госпожа эльф! / Nihon e Youkoso Elf-san.
11) Мэдака Куроива не понимает моей привлекательности / Kuroiwa Medaka ni Watashi no Kawaii ga Tsuujinai
15) Клинок зла / Übel Blatt
22) Ты умеешь хранить секреты? / Kono Kaisha ni Suki na Hito ga Imasu
24) Грисайя: Призрачный курок / Grisaia: Phantom Trigger the Animation
29) Перерождение мужчины средних лет в дочь дворянина / Akuyaku Reijou Tensei Ojisan
31) Я та, кто пытается избежать обучения для принцесс / Kisaki Kyouiku kara Nigetai Watashi