Anime summer 2024
1) Звёздное дитя 2 /【OSHI NO KO】2
2) Аля иногда кокетничает со мной по-русски / Tokidoki Bosotto Russia-go de Dereru Tonari no Alya-san
4) Наше поле брани или Священная война зарождения мира 2 / Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen 2
9) Дисквалифицирован по жизни / Isekai Shikkaku
11) Я стал самым сильным с провальным навыком «ненормальное состояние», я разрушу всё / Hazurewaku no "Joutai Ijou Skill" de Saikyou ni Natta Ore ga Subete wo Juurin suru made
12) Самый сильный волшебник армии повелителя демонов оказался человеком / Maougun Saikyou no Majutsushi wa Ningen datta
15) Приключения в другом мире: Воспитывать детей будучи авантюристом / Isekai Yururi Kikou: Kosodateshinagara Boukensha Shimasu
16) Любовь неделима между близнецами / Koi wa Futago de Warikirenai
17) Меч и жезл Вистории / Tsue to Tsurugi no Wistoria
18) Атри: Мои дорогие моменты / Atri: My Dear Moments
19) От простого человека до героя-разведчика / Mob kara Hajimaru Tansaku Eiyuutan
20) Ниер: Автомата — Версия 1.1а. Часть 2 / NieR:Automata Ver1.1a Part 2
21) Волшебница и злой офицер / Katsute Mahou Shoujo to Aku wa Tekitai shiteita.
22) Витубер: Я стала популярной после того, как забыла выключить стрим / VTuber Nandaga Haishin Kiri Wasuretara Densetsu ni Natteta
24) Я парировал всё время, чтобы стать сильнейшим авантюристом / Ore wa Subete wo "Parry" suru: Gyaku Kanchigai no Sekai Saikyou wa Boukensha ni Naritai
26) Невероятный новичок средних лет, прошедший тренировки на грани смерти / Shinmai Ossan Boukensha, Saikyou Party ni Shinu hodo Kitaerarete Muteki ni Naru.
27) Магическая ремесленница Далия не унывает! / Madougushi Dahliya wa Utsumukanai
30) Пока-пока, Земля / Bye-Bye, Earth
32) Юный лорд — мастер побега / Nige Jouzu no Wakagimi
36) Ёко из Сэнгоку: Тысяча демонов хаоса / Sengoku Youko: Senma Konton-hen
39) Люди подземелья / Dungeon no Naka no Hito
40) Детская Делико / Delico's Nursery
44) Рамэнная рыжего кота / Ramen Akaneko
47) Цикл историй: Межсезонье и сезон монстров / Monogatari Series: Off & Monster Season
