Anime spring 2026
1) Ангел по соседству меня ужасно балует 2
2) О моём перерождении в слизь 4
4) Меч и жезл Вистории 2
5) Re:Zero. Жизнь в другом мире с нуля 4
6) Я подружился со второй самой симпатичной девушкой в классе
8) Фермерская жизнь в ином мире 2 
9) Явись, Ирума! 4
11) Начало после конца 2 
12) Операция: Семейка Ёдзакура 2
13) Революция книжного червя: Приёмная дочь лорд
14) Ателье колдовских колпаков
16) Королева, ставшая причиной трагедии, сделает для народа всё, что в её силах 2
19) Канан до чёртиков проста
20) Цугаи загробного мира 
22) Похоже, сильнейшая профессия — это не герой или мудрец, а (временный) инспектор? 
23) Я переродился торговым автоматом и скитаюсь по лабиринту 3
24) Где те девушки, что были бы добры к отаку?
25) Девушка на час 5
26) Лепестки реинкарнации 
27) Брачный токсин
28) Чёрная кошка и класс ведьм
29) Божественный сад у поместья Кусуноки
31) Рыба, которую я упустила, большая, но я поймала другую, которая ещё больше
33) Боевой петух
34) Бесполезный дежурный и школьница со слишком короткой юбкой
35) Ботан Камина, пьяная внешность — цветок лилии
37) Мао
38) Горничная, которая просто любит покушать
41) Зависимая девушка: Передозировка
42) Ледяная стена
45) Авантюрист, пожирающий демонов: Я единственный, кто становится сильнее, пожирая монстров
47) Убивая юность 
48) Сто видов Авадзимы
49) Земля-снежок
50) Фан-клуб Кирио
52) Дом, в котором щебечет Кузьма
53) Богиня: «Кем хочешь переродиться в другом мире?» — Я: «Ребром героя!» 
54) Троецарствие Японии
57) Волшебные сёстры Луллуто Лилли 