Anime autumn 2025
2) Семья шпиона 3 / Spy x Family Season 3
3) Кулинарные скитания в параллельном мире 2 / Tondemo Skill de Isekai Hourou Meshi 2
5) Младшая сестра моего друга досаждает / Tomodachi no Imouto ga Ore ni dake Uzai
6) Для тебя, Бессмертный 3 / Fumetsu no Anata e Season 3
7) Мой статус убийцы очевидно превосходит геройский / Ansatsusha de Aru Ore no Status ga Yuusha yori mo Akiraka ni Tsuyoi no da ga
8) Плачущий призрак на пенсии. Часть 2 / Nageki no Bourei wa Intai shitai Part 2
9) Могу я попросить ещё кое-что? / Saigo ni Hitotsu dake Onegai shitemo Yoroshii deshou ka
11) Бесклассовый герой: Да мне всё равно не нужны эти ваши умения / Mushoku no Eiyuu: Betsu ni Skill Nanka Iranakatta n da ga
12) Неумелый сэмпай / Bukiyou na Senpai.
13) Мой отец — герой, моя мать — дух, а я перерождённая их дочерью / Chichi wa Eiyuu, Haha wa Seirei, Musume no Watashi wa Tenseisha.
14) Придворный маг, пользовавшийся лишь магией поддержки, потому что его союзники слишком слабы, решил стать сильнейшим после изгнания / Mikata ga Yowasugite Hojo Mahou ni Tesshiteita Kyuutei Mahoushi, Tsuihou sarete Saikyou wo Mezashimasu
16) Сказания об обручальных кольцах 2 / Kekkon Yubiwa Monogatari Ⅱ
18) Путешествие коллекционера по другому миру / Sozai Saishuka no Isekai Ryokouki
20) Безэмоциональная Кашивада и эмоциональный Ота / Kao ni Denai Kashiwada-san to Kao ni Deru Oota-kun
21) Вампир не умеет правильно сосать / Chanto Suenai Kyuuketsuki-chan
28) Тёмное прошлое перевоплощённой злодейки / Tensei Akujo no Kuro Rekishi
32) Постапокалиптическое путешествие / Shuumatsu Touring
37) Вечность Югурэ / Towa no Yuugure
42) Сыграем: Моя жизнь, полная квестов / Let's Play: Quest-darake no My Life
48) Монстр хочет съесть меня / Watashi wo Tabetai, Hitodenashi