Anime spring 2024
1) О моём перерождении в слизь 3 / Tensei shitara Slime Datta Ken 3rd Season
2) Клинок, рассекающий демонов: Тренировка столпов / Kimetsu no Yaiba: Hashira Geiko-hen
3) Этот замечательный мир! 3 / Kono Subarashii Sekai ni Shukufuku wo! 3
4) Рандеву с жизнью 5 / Date A Live V
5) Кайдзю номер восемь / Kaijuu 8-gou
6) Непутёвый ученик в школе магии 3 / Mahouka Koukou no Rettousei 3rd Season
7) Перевоплотился в седьмого принца, так что я буду совершенствовать свою магию, как захочу / Tensei shitara Dainana Ouji Datta node, Kimama ni Majutsu wo Kiwamemasu
8) Волчица и пряности: Торговец встречает мудрую волчицу / Ookami to Koushinryou: Merchant Meets the Wise Wolf
9) Я, владыка демонов, взял эльфийку-рабыню в жёны. И как же мне её любить? / Maou no Ore ga Dorei Elf wo Yome ni Shitanda ga, Dou Medereba Ii?
10) Непринуждённая жизнь в другом мире экс-кандидата в герои, оказавшегося читером со 2 уровня / Lv2 kara Cheat datta Motoyuusha Kouho no Mattari Isekai Life
11) Перерождение в аристократа со способностью анализа / Tensei Kizoku, Kantei Skill de Nariagaru
12) Операция: Семейка Ёдзакура / Yozakura-san Chi no Daisakusen
13) Богиня жаждет игр / Kami wa Game ni Ueteiru.
14) Безымянная память / Unnamed Memory
15) Прошепчу тебе песню о любви / Sasayaku You ni Koi wo Utau
18) Бывший герой, которого прозвали неудачником и выгнали из дома, решил жить самостоятельно / Dekisokonai to Yobareta Motoeiyuu wa Jikka kara Tsuihou sareta node Sukikatte ni Ikiru Koto ni Shita
21) Перерождение: Монстр / Re:Monster
24) Герцог смерти и его тёмная горничная 3 / Shinigami Bocchan to Kuro Maid 3rd Season
30) Медуза не умеет плавать в ночи / Yoru no Kurage wa Oyogenai
32) Басня / The Fable
33) Ворон не выбирает господина / Karasu wa Aruji wo Erabanai
35) Плач девичьей группы / Girls Band Cry
36) Куда едет поезд судного дня? / Shuumatsu Train Doko e Iku?
48) Непризнанный школой владыка демонов 2. Часть 2 / Maou Gakuin no Futekigousha II Part 2