Anime winter 2026
1) Провожающая в последний путь Фрирен 2 / Sousou no Frieren 2nd Season
2) Адский рай 2 / Jigokuraku 2nd Season
5) Звёздное дитя 3 / [Oshi no Ko] 3rd Season
7) Полуночный мотив сердца / Mayonaka Heart Tune
8) Судьба/Странная подделка / Fate/strange Fake
10) Мастера на все руки выгнали из отряда героев / Yuusha Party wo Oidasareta Kiyoubinbou
11) В команде героя была милая девушка, так что я признался ей / Yuusha Party ni Kawaii Ko ga Ita node, Kokuhaku shitemita.
12) Реинкарнация аристократа: Благословенный с рождения величайшей силой / Kizoku Tensei: Megumareta Umare kara Saikyou no Chikara wo Eru
14) Смертельная игра ради еды на столе / Shibou Yuugi de Meshi wo Kuu.
17) Ты и я — полные противоположности / Seihantai na Kimi to Boku
18) Золотое божество: Финал / Golden Kamuy: Saishuushou
19) Время пыток, принцесса! 2 / Himesama "Goumon" no Jikan desu 2nd Season
20) Весёлая защита владений беспечного лорда: Превращение безымянной деревни в неприступную крепость с помощью производственной магии / Okiraku Ryoushu no Tanoshii Ryouchi Bouei: Seisankei Majutsu de Na mo Naki Mura wo Saikyou no Jousai Toshi ni
22) Это не романтическая комедия с подругой детства / Osananajimi to wa Love Comedy ni Naranai
23) Принц соседней страны обожает злодейку / Akuyaku Reijou wa Ringoku no Outaishi ni Dekiai sareru
24) Святой Грааль Эрис / Eris no Seihai
25) Прекрасная вечерняя луна / Uruwashi no Yoi no Tsuki
27) Шампиньонная ведьма / Champignon no Majo
29) Предложение отпуска для скромного дворянина / Odayaka Kizoku no Kyuuka no Susume.
32) Перерождение в яйцо дракона: Я стану сильнейшим / Tensei shitara Dragon no Tamago datta
34) Неужели ты думаешь, что кто-то вроде тебя сможет победить повелителя демонов? / "Omae Gotoki ga Maou ni Kateru to Omouna" to Yuusha Party wo Tsuihou sareta node, Outo de Kimama ni Kurashitai
37) Повседневная жизнь одинокого двадцатидевятилетнего авантюриста / 29-sai Dokushin Chuuken Boukensha no Nichijou
39) Каечке не страшно / Kaya-chan wa Kowakunai
41) Учитель-мизантроп в классе нелюдей / Jingai Kyoushitsu no Ningengirai Kyoushi
42) Дочь короля демонов слишком добрая! / Maou no Musume wa Yasashisugiru!!
46) Дневник разных стран / Ikoku Nikki
49) Синие Мибуро: Убийство Сэридзавы / Ao no Miburo: Serizawa Ansatsu-hen
50) Герой-мерзавец / Yuusha no Kuzu
52) Истинные чудотворные рыцари / Yoroi Shin Den Samurai Troopers
54) Повесть о конце света 3 / Shuumatsu no Walküre III
