Anime spring 2025
4) Может ли существовать дружба между мужчиной и женщиной? (Нет, это не так!) / Danjo no Yuujou wa Seiritsu suru? (Iya, Shinai!!)
5) Начало после конца / The Beginning After the End
6) Гениальный целитель, который исцелял в одно мгновение, но был изгнан как бесполезный, теперь наслаждается жизнью в качестве тёмного целителя / Isshun de Chiryou shiteita noni Yakutatazu to Tsuihou sareta Tensai Chiyushi, Yami Healer toshite Tanoshiku Ikiru
9) Непостижимая Ахарэн 2 / Aharen-san wa Hakarenai Season 2
10) Я злой лорд межгалактической империи! / Ore wa Seikan Kokka no Akutoku Ryoushu!
13) Ателье Мейстер / Kanchigai no Atelier Meister: Eiyuu Party no Moto Zatsuyougakari ga, Jitsu wa Sentou Igai ga SSS Rank Datta to Iu Yoku Aru Hanashi
14) Слегка настойчивая тёмная эльфийка последовала за мной из другого мира / Chotto dake Ai ga Omoi Dark Elf ga Isekai kara Oikaketekita
19) Карманы лета / Summer Pockets
20) Соседнему королевству продали святую, помолвку которой разорвали из-за того, что она стала слишком совершенной / Kanpekisugite Kawaige ga Nai to Konyaku Haki sareta Seijo wa Ringoku ni Urareru
21) Дочь, которую защищал бог горилл, любима королевскими рыцарями / Gorilla no Kami kara Kago sareta Reijou wa Ouritsu Kishidan de Kawaigarareru
23) Обычный роман в Коунуне / Kowloon Generic Romance
24) Пока-пока, Земля 2 / Bye Bye, Earth 2nd Season
25) Быть героем Икс / Tu Bian Yingxiong X
29) Божественная книга / Teogonia
30) Жизнь ниндзя и убийцы / Ninja to Koroshiya no Futarigurashi
34) Яйба / Shin Samurai-den Yaiba
38) Журнал мононокэ, автор Чудзенджи / Chuuzenji-sensei Mononoke Kougiroku: Sensei ga Nazo wo Hodoite Shimau kara.
40) #Компас 2.0: Система анализа боевого промысла / #Compass 2.0: Sentou Setsuri Kaiseki System
47) Ловец бейсбольного поля! / Ballpark de Tsukamaete!
48) Силы енотового реагирования / Araiguma Calcal-dan
49) Хроники людей и демонов / Kijin Gentoushou
