Anime autumn 2026
1) О моём перерождении в меч 2 
2) Монолог фармацевта 3 
5) Магия вернувшегося должна быть особенной 2 
8) Волшебник ледяного клинка правит миром 2 
9) Шальной последний босс появился! 2 
10) Магический исследователь 
12) Я очнулся будучи пилотом сильнейшего космического корабля, а потому решил стать межгалактическим наёмником 
13) Не слишком ли ты сладкая, Бог соли Сато? 
14) Сасаки и Пи 2 
15) Переродившаяся великая святая скрывает, что она святая 
18) Безжалостная леди Ния Листон: Единственная в своём роде история воительницы-богоубийцы, перевоплотившейся в болезненную аристократку 
19) Ледяная стена 2 
21) Свадьба светлячков 
22) Операция: Семейка Ёдзакура 2. Часть 2
23) Я ведьма, которую возлюбленный попросил создать любовное зелье 
24) Её подруга 
26) Одолженная мной магия будет принудительно изъята посредством возобновляемого кредита 
27) Прохождение параллельного мира вместе с богиней, у которой нет последователей: Слабейший маг среди одноклассников 
28) Во всеоружии: Сила артефактов 
30) Сильнейшая ведьма в мире стартовала 
32) Я встречаюсь с тёмным призывателем
33) Некий ITEM тёмной стороны 
34) Изгнанный читер-чародей наслаждается беззаботной второй жизнью: Я могу накладывать «очки усиления» не только на оружие, но и на что угодно, в любой момент отменяя эффект по собственной воле, а с теми, кто остался, всё нормально?
35) Проект воспитания девочек-волшебниц: Перезагрузка 
39) Фантазии Речных заводей
40) FX Воин Куруми 
41) Военная хроника Ромелии 
42) Я перевоплотился в гоблина, вопросы есть?
44) В поисках зомби 
46) Возмездие раненой святой 2
48) Издалека
49) Отель для нелюдей 2
50) Вершина силы 
51) Путешествие на поезде! Встреча с девушками-железнодорожницами
57) Перерождение в аристократа со способностью анализа 3