Anime summer 2026
2) Мир отомэ-игр — это тяжёлый мир для мобов 2 
3) Военная хроника маленькой девочки 2 
4) Рыцарь-скелет вступает в параллельный мир 2
6) Старик из деревни становится Святым мечом 2
8) Клеватесс 2: Король демонических зверей и легенда о ложном герое 
9) Аккуратная и симпатичная девочка в моей новой школе — подруга детства, с которой я играл, думая, что она мальчик 
10) Тайная битва за престол сильнейшего принца-дуралея 
11) Крестьянин девятьсот девяносто девятого уровня 
12) Прошло десять лет с момента, как я сказал «Оставьте это на меня и уходите» и стал легендой 
13) Ты и я — полные противоположности 2 
16) Необыкновенный неудачник: Дневник переродившегося колдуна S-ранга
18) История электричества в двадцатом веке
19) Юный лорд — мастер побега 2
22) Самый сильный в мире заступник: Страна лабиринта и искатели приключений
25) Разгневанная леди поклялась отомстить: Я разрушу свою страну с помощью силы гримуара! 
27) Хоть я и бездарная злодейка: Сказка о том, как бабочка и крыса поменялись местами в девичьем дворе 
28) Героиня? Святая? Нет, я всемогущая горничная! 
29) Население приграничного владения начинается с нуля
30) Кот и дракон
31) Монстрик Карамелька
32) Забывчивая святая дева неосознанно изливает свою силу
33) Шатёр чародея
34) Лазурный путь: Малый вперёд! 2 
35) Ханаори хочет драться даже после перерождения 
36) Лиричная волшебница Наноха: Опередители — Огненный выстрел возмездия 
37) Компания «Маги-Люмьер» 2
38) Невеста демона
40) Следующий герцог, который скажет: «Я не хочу любить тебя», будет любить тебя по какой-то причине
41) Виктория с множеством козырей
42) Отверженная святая и её гастрономическое путешествие в другом мире
44) Красная река
45) Мои сводные сёстры и мачеха не злые 
47) За спиной Камуи 
49) Дара из Рэйвы
50) Шоу для взрослых: Цирк «Подсолнух»
52) Рекомендация старшеклассника Ивамото
53) Вперёд, отряд мистики!
55) Изгнанный реинкарнированный тяжёлый рыцарь не имеет себе равных в знаниях игры
56) История о перекуре за супермаркетом